CptProcedureCode,AlightSpecialtyDescription,SpecialtyBucket,ProcedureCodeDescription,,,,,
76870,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, SCROTUM AND CONTENTS",,,,,
76872,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, TRANSRECTAL;",,,,,
76873,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, TRANSRECTAL; PROSTATE VOLUME STUDY FOR BRACHYTHERAPY TREATMENT PLANNING (SEPARATE PROCEDURE)",,,,,
76880,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 2011. TO REPORT ULTRASOUND EXAMINATION OF AN EXTREMITY, SEE 76881, 76882) ULTRASOUND, EXTREMITY, NONVASCULAR, REAL TIME WITH IMAGE DOCUMENTATION",,,,,
76881,Imaging Center (Radiology),Ultrasound,NULL,,,,,
76882,Imaging Center (Radiology),Ultrasound,NULL,,,,,
76885,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, INFANT HIPS, REAL TIME WITH IMAGING DOCUMENTATION; DYNAMIC (REQUIRING PHYSICIAN MANIPULATION)",,,,,
76886,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, INFANT HIPS, REAL TIME WITH IMAGING DOCUMENTATION; LIMITED, STATIC (NOT REQUIRING PHYSICIAN MANIPULATION)",,,,,
76925,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1992. TO REPORT, SEE 93920-93931 OR 93965-93971) ECHOGRAPHY, PERIPHERAL VASCULAR SYSTEM (EG, B-SCAN, DOPPLER OR REAL-TIME SCAN)",,,,,
76926,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1992. TO REPORT, SEE 93875-93888 OR 93975-93979) ECHOGRAPHY, HEAD AND TRUNK, VASCULAR SYSTEM (EG, DUPLEX DOPPLER)",,,,,
76930,Imaging Center (Radiology),Ultrasound,"ULTRASONIC GUIDANCE FOR PERICARDIOCENTESIS, IMAGING SUPERVISION AND INTERPRETATION",,,,,
76931,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1992. TO REPORT, SEE 33010,33011,76930) ULTRASONIC GUIDANCE FOR PERICARDIOCENTESIS; COMPLETE PROCEDURE",,,,,
76932,Cardiology,Ultrasound,"ULTRASONIC GUIDANCE FOR ENDOMYOCARDIAL BIOPSY, IMAGING SUPERVISION AND INTERPRETATION",,,,,
76933,Cardiology,Ultrasound,"(CODE DELETED IN 1992. TO REPORT, SEE 76932,93505) ULTRASONIC GUIDANCE FOR ENDOMYOCARDIAL BIOPSY; COMPLETE PROCEDURE",,,,,
76934,Cardiology,Ultrasound,"(CODE DELETED IN 2001. FOR ULTRASOUND GUIDANCE FOR THORACENTESIS OR ABDOMINAL PARACENTESIS, SEE 32000 AND 76942) ULTRASONIC GUIDANCE FOR THORACENTESIS OR ABDOMINAL PARACENTESIS, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
76935,Cardiology,Ultrasound,"(CODE DELETED IN 1992. TO REPORT, SEE 32000,76934) ULTRASONIC GUIDANCE FOR THORACENTESIS; COMPLETE PROCEDURE",,,,,
76936,Imaging Center (Radiology),Ultrasound,"ULTRASOUND GUIDED COMPRESSION REPAIR OF ARTERIAL PSEUDOANEURYSM OR ARTERIOVENOUS FISTULAE (INCLUDES DIAGNOSTIC ULTRASOUND EVALUATION, COMPRESSION OF LESION AND IMAGING)",,,,,
76937,Imaging Center (Radiology),Ultrasound,"ULTRASOUND GUIDANCE FOR VASCULAR ACCESS REQUIRING ULTRASOUNDEVALUATION OF POTENTIAL ACCESS SITES, DOCUMENTATION OF SELECTED VESSEL PATENCY, CONCURRENT REALTIME ULTRASOUND VISUALIZATION OF VASCULAR NEEDLE ENTRY, WITH PERMANENT RECORDING AND",,,,,
76938,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 2001. FOR ULTRASOUND GUIDANCE FOR CYST OR RENAL PELVIS ASPIRATION, SEE APPROPRIATE ORGAN OR SITE AND 76942) ULTRASONIC GUIDANCE FOR CYST (ANY LOCATION), OR RENALPELVIS ASPIRATION, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
76939,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1992. TO REPORT, SEE APPROPRIATE ORGAN OR SITE AND 76938) ULTRASONIC GUIDANCE FOR CYST (ANY LOCATION),OR RENAL PELVIS ASPIRATION; COMPLETE PROCEDURE",,,,,
76940,Imaging Center (Radiology),Ultrasound,"ULTRASOUND GUIDANCE FOR, AND MONITORING OF, VISCERAL TISSUE ABLATION",,,,,
76941,Imaging Center (Radiology),Ultrasound,"ULTRASONIC GUIDANCE FOR INTRAUTERINE FETAL TRANSFUSION OR CORDOCENTESIS, IMAGING SUPERVISION AND INTERPRETATION",,,,,
76942,Imaging Center (Radiology),Ultrasound,"ULTRASONIC GUIDANCE FOR NEEDLE PLACEMENT (EG, BIOPSY, ASPIRATION, INJECTION, LOCALIZATION DEVICE), IMAGING SUPERVISION AND INTERPRETATION",,,,,
76943,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1992. TO REPORT, SEE APPROPRIATE ORGAN OR SITE AND 76942) ULTRASONIC GUIDANCE FOR NEEDLE BIOPSY; COMPLETE PROCEDURE",,,,,
76944,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1989. TO REPORT, USE 75989) ULTRASONIC GUIDANCE FOR ABSCESS OR COLLECTION DRAINAGE; SUPERVISION ANDINTERPRETATION ONLY",,,,,
76945,Imaging Center (Radiology),Ultrasound,"ULTRASONIC GUIDANCE FOR CHORIONIC VILLUS SAMPLING, IMAGING SUPERVISION AND INTERPRETATION",,,,,
76946,Imaging Center (Radiology),Ultrasound,"ULTRASONIC GUIDANCE FOR AMNIOCENTESIS, IMAGING SUPERVISION AND INTERPRETATION",,,,,
76947,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1992. TO REPORT, SEE 59000,76946) ULTRASONIC GUIDANCE FOR AMNIOCENTESIS; COMPLETE PROCEDURE",,,,,
76948,Imaging Center (Radiology),Ultrasound,"ULTRASONIC GUIDANCE FOR ASPIRATION OF OVA, IMAGING SUPERVISION AND INTERPRETATION",,,,,
76949,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1992. TO REPORT, SEE 58970,76948) ULTRASONIC GUIDANCE FOR ASPIRATION OF OVA; COMPLETE PROCEDURE",,,,,
76950,Imaging Center (Radiology),Ultrasound,ULTRASONIC GUIDANCE FOR PLACEMENT OF RADIATION THERAPY FIELDS,,,,,
76960,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 2001. TO REPORT, USE 76950) ULTRASONIC GUIDANCE FOR PLACEMENT OF RADIATION THERAPY FIELDS, EXCEPT FOR B-SCAN ECHOGRAPHY",,,,,
76965,"Radiation, Oncology",Radiation Therapy,ULTRASONIC GUIDANCE FOR INTERSTITIAL RADIOELEMENT APPLICATION,,,,,
76970,"Radiation, Oncology",Radiation Therapy,ULTRASOUND STUDY FOLLOW-UP (SPECIFY),,,,,
76975,Imaging Center (Radiology),Ultrasound,"GASTROINTESTINAL ENDOSCOPIC ULTRASOUND, SUPERVISION AND INTERPRETATION",,,,,
76977,Imaging Center (Radiology),Ultrasound,"ULTRASOUND BONE DENSITY MEASUREMENT AND INTERPRETATION, PERIPHERAL SITE(S), ANY METHOD",,,,,
76978,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, TARGETED DYNAMIC MICROBUBBLE SONOGRAPHIC CONTRAST CHARACTERIZATION (NON-CARDIAC); INITIAL LESION",,,,,
76979,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, TARGETED DYNAMIC MICROBUBBLE SONOGRAPHIC CONTRAST CHARACTERIZATION (NON-CARDIAC); EACH ADDITIONAL LESION WITH SEPARATE INJECTION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,
76981,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, ELASTOGRAPHY; PARENCHYMA (EG, ORGAN)",,,,,
76982,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, ELASTOGRAPHY; FIRST TARGET LESION",,,,,
76983,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, ELASTOGRAPHY; EACH ADDITIONAL TARGET LESION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,
76986,Imaging Center (Radiology),Ultrasound,"ULTRASONIC GUIDANCE, INTRAOPERATIVE",,,,,
76991,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1990. TO REPORT, USE 76830, 76872) INTRALUMINAL ULTRASOUND STUDY (EG, TRANSRECTAL, TRANSVAGINAL)",,,,,
76998,Imaging Center (Radiology),Ultrasound,NULL,,,,,
76999,Imaging Center (Radiology),Ultrasound,"UNLISTED ULTRASOUND PROCEDURE (EG, DIAGNOSTIC, INTERVENTIONAL)",,,,,
77001,Imaging Center (Radiology),Routine Radiology Imaging,NULL,,,,,
77002,Imaging Center (Radiology),Routine Radiology Imaging,"FLUOROSCOPIC GUIDANCE FOR NEEDLE PLACEMENT (EG, BIOPSY, ASPIRATION, INJECTION, LOCALIZATION DEVICE)",,,,,
77003,Imaging Center (Radiology),Routine Radiology Imaging,"FLUOROSCOPIC GUIDANCE AND LOCALIZATION OF NEEDLE OR CATHETERTIP FOR SPINE OR PARASPINOUS DIAGNOSTIC OR THERAPEUTIC INJECTION PROCEDURES (EPIDURAL, TRANSFORAMINAL EPIDURAL, SUBARACHNOID, PARAVERTEBRAL FACET JOINT, PARAVERTEBRAL FACETJOINT NE",,,,,
77011,Imaging Center (Radiology),CT Scan,NULL,,,,,
77012,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY GUIDANCE FOR NEEDLE PLACEMENT (EG, BIOPSY, ASPIRATION, INJECTION, LOCALIZATION DEVICE), RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
77013,Imaging Center (Radiology),CT Scan,"COMPUTERIZED TOMOGRAPHY GUIDANCE FOR, AND MONITORING OF, PARENCHYMAL TISSUE ABLATION",,,,,
77014,Imaging Center (Radiology),CT Scan,NULL,,,,,
77021,Imaging Center (Radiology),MRI,NULL,,,,,
77022,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE GUIDANCE FOR, AND MONITORING OF, PARENCHYMAL TISSUE ABLATION",,,,,
77031,Imaging Center (Radiology),MRI,"STEREOTACTIC LOCALIZATION GUIDANCE FOR BREAST BIOPSY OR NEEDLE PLACEMENT (EG, FOR WIRE LOCALIZATION OR FOR INJECTION), EACH LESION, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
77032,Imaging Center (Radiology),MRI,"MAMMOGRAPHIC GUIDANCE FOR NEEDLE PLACEMENT, BREAST (EG, FOR WIRE LOCALIZATION OR FOR INJECTION), EACH LESION, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
77046,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE IMAGING, BREAST, WITHOUT CONTRAST MATERIAL; UNILATERAL",,,,,
77047,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE IMAGING, BREAST, WITHOUT CONTRAST MATERIAL; BILATERAL",,,,,
77048,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE IMAGING, BREAST, WITHOUT AND WITH CONTRAST MATERIAL(S), INCLUDING COMPUTER-AIDED DETECTION (CAD REAL-TIME LESION DETECTION, CHARACTERIZATION AND PHARMACOKINETIC ANALYSIS), WHEN PERFORMED; UNILATERAL",,,,,
77049,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE IMAGING, BREAST, WITHOUT AND WITH CONTRAST MATERIAL(S), INCLUDING COMPUTER-AIDED DETECTION (CAD REAL-TIME LESION DETECTION, CHARACTERIZATION AND PHARMACOKINETIC ANALYSIS), WHEN PERFORMED; BILATERAL",,,,,
77051,Imaging Center (Radiology),MRI,NULL,,,,,
77052,Imaging Center (Radiology),MRI,NULL,,,,,
77053,Imaging Center (Radiology),Mammogram,NULL,,,,,
77054,Imaging Center (Radiology),Mammogram,NULL,,,,,
77055,Imaging Center (Radiology),Mammogram,MAMMOGRAPHY; UNILATERAL,,,,,
77056,Imaging Center (Radiology),Mammogram,NULL,,,,,
77057,Imaging Center (Radiology),Mammogram,"SCREENING MAMMOGRAPHY, BILATERAL (2-VIEW FILM STUDY OF EACH BREAST)",,,,,
77058,Imaging Center (Radiology),Mammogram,NULL,,,,,
77059,Imaging Center (Radiology),Mammogram,"MAGNETIC RESONANCE IMAGING, BREAST, WITHOUT AND/OR WITH CONTRAST MATERIAL(S); BILATERAL",,,,,
77061,Imaging Center (Radiology),Mammogram,DIAGNOSTIC DIGITAL BREAST TOMOSYNTHESIS; UNILATERAL,,,,,
77062,Imaging Center (Radiology),Mammogram,DIGITAL BREAST TOMOSYNTHESIS; BILATERAL,,,,,
77063,Imaging Center (Radiology),Mammogram,"SCREENING DIGITAL BREAST TOMOSYNTHESIS, BILATERAL (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,
77065,Imaging Center (Radiology),Mammogram,"DIAGNOSTIC MAMMOGRAPHY, INCLUDING COMPUTER-AIDED DETECTION (CAD) WHEN PERFORMED; UNILATERAL",,,,,
77066,Imaging Center (Radiology),Mammogram,"DIAGNOSTIC MAMMOGRAPHY, INCLUDING COMPUTER-AIDED DETECTION (CAD) WHEN PERFORMED; BILATERAL",,,,,
77067,Imaging Center (Radiology),Mammogram,"SCREENING MAMMOGRAPHY, BILATERAL (2-VIEW STUDY OF EACH BREAST), INCLUDING COMPUTER-AIDED DETECTION (CAD) WHEN PERFORMED",,,,,
77071,Imaging Center (Radiology),Routine Radiology Imaging,"MANUAL APPLICATION OF STRESS PERFORMED BY PHYSICIAN FOR JOINT RADIOGRAPHY, INCLUDING CONTRALATERAL JOINT IF INDICATED",,,,,
77072,Imaging Center (Radiology),Routine Radiology Imaging,NULL,,,,,
77073,Imaging Center (Radiology),Routine Radiology Imaging,NULL,,,,,
77074,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, OSSEOUS SURVEY; LIMITED (EG, FOR METASTASES)",,,,,
77075,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, OSSEOUS SURVEY; COMPLETE (AXIAL AND APPENDICULAR SKELETON)",,,,,
77076,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, OSSEOUS SURVEY, INFANT",,,,,
77077,Imaging Center (Radiology),Routine Radiology Imaging,"JOINT SURVEY, SINGLE VIEW, 2 OR MORE JOINTS (SPECIFY)",,,,,
77078,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, BONE MINERAL DENSITY STUDY, 1 OR MORE SITES; AXIAL SKELETON (EG, HIPS, PELVIS, SPINE)",,,,,
77079,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, BONE MINERAL DENSITY STUDY, 1 OR MORE SITES; APPENDICULAR SKELETON (PERIPHERAL) (EG, RADIUS, WRIST, HEEL)",,,,,
77080,Imaging Center (Radiology),Routine Radiology Imaging,"DUAL-ENERGY X-RAY ABSORPTIOMETRY (DXA), BONE DENSITY STUDY, 1 OR MORE SITES; AXIAL SKELETON (EG, HIPS, PELVIS, SPINE)",,,,,
77081,Imaging Center (Radiology),Routine Radiology Imaging,NULL,,,,,
77082,Imaging Center (Radiology),Routine Radiology Imaging,NULL,,,,,
77083,Imaging Center (Radiology),Routine Radiology Imaging,NULL,,,,,
77084,Imaging Center (Radiology),MRI,NULL,,,,,
77085,Imaging Center (Radiology),Routine Radiology Imaging,"DUAL-ENERGY X-RAY ABSORPTIOMETRY (DXA), BONE DENSITY STUDY, 1 OR MORE SITES; AXIAL SKELETON (EG, HIPS, PELVIS, SPINE), INCLUDING VERTEBRAL FRACTURE ASSESSMENT",,,,,
77086,Imaging Center (Radiology),Routine Radiology Imaging,VERTEBRAL FRACTURE ASSESSMENT VIA DUAL-ENERGY X-RAY ABSORPTIOMETRY (DXA),,,,,
77089,Imaging Center (Radiology),Routine Radiology Imaging,"TRABECULAR BONE SCORE (TBS), STRUCTURAL CONDITION OF THE BONE MICROARCHITECTURE; USING DUAL X-RAY ABSORPTIOMETRY (DXA) OR OTHER IMAGING DATA ON GRAY-SCALE VARIOGRAM, CALCULATION, WITH INTERPRETATION AND REPORT ON FRACTURE-RISK",,,,,
77090,Imaging Center (Radiology),Routine Radiology Imaging,"TRABECULAR BONE SCORE (TBS), STRUCTURAL CONDITION OF THE BONE MICROARCHITECTURE; TECHNICAL PREPARATION AND TRANSMISSION OF DATA FOR ANALYSIS TO BE PERFORMED ELSEWHERE",,,,,
77091,Imaging Center (Radiology),Routine Radiology Imaging,"TRABECULAR BONE SCORE (TBS), STRUCTURAL CONDITION OF THE BONE MICROARCHITECTURE; TECHNICAL CALCULATION ONLY",,,,,
77092,Imaging Center (Radiology),Routine Radiology Imaging,"TRABECULAR BONE SCORE (TBS), STRUCTURAL CONDITION OF THE BONE MICROARCHITECTURE; INTERPRETATION AND REPORT ON FRACTURE-RISK ONLY BY OTHER QUALIFIED HEALTH CARE PROFESSIONAL",,,,,
77261,"Radiation, Oncology",Radiation Therapy,THERAPEUTIC RADIOLOGY TREATMENT PLANNING; SIMPLE,,,,,
77262,"Radiation, Oncology",Radiation Therapy,THERAPEUTIC RADIOLOGY TREATMENT PLANNING; INTERMEDIATE,,,,,
77263,"Radiation, Oncology",Radiation Therapy,THERAPEUTIC RADIOLOGY TREATMENT PLANNING; COMPLEX,,,,,
77280,"Radiation, Oncology",Radiation Therapy,THERAPEUTIC RADIOLOGY SIMULATION-AIDED FIELD SETTING; SIMPLE,,,,,
77285,"Radiation, Oncology",Radiation Therapy,THERAPEUTIC RADIOLOGY SIMULATION-AIDED FIELD SETTING; INTERMEDIATE,,,,,
77290,"Radiation, Oncology",Radiation Therapy,THERAPEUTIC RADIOLOGY SIMULATION-AIDED FIELD SETTING; COMPLEX,,,,,
77293,Imaging Center (Radiology),Routine Radiology Imaging,RESPIRATORY MOTION MANAGEMENT SIMULATION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE),,,,,
77295,"Radiation, Oncology",Radiation Therapy,THERAPEUTIC RADIOLOGY SIMULATION-AIDED FIELD SETTING; 3-DIMENSIONAL,,,,,
77299,"Radiation, Oncology",Radiation Therapy,"UNLISTED PROCEDURE, THERAPEUTIC RADIOLOGY CLINICAL TREATMENTPLANNING",,,,,
77300,"Radiation, Oncology",Radiation Therapy,"BASIC RADIATION DOSIMETRY CALCULATION, CENTRAL AXIS DEPTH DOSE CALCULATION, TDF, NSD, GAP CALCULATION, OFF AXIS FACTOR, TISSUE INHOMOGENEITY FACTORS, CALCULATION OF NON-IONIZING RADIATION SURFACE AND DEPTH DOSE, AS REQUIRED DURING COURSE OF",,,,,
77301,"Radiation, Oncology",Radiation Therapy,"INTENSITY MODULATED RADIOTHERAPY PLAN, INCLUDING DOSE-VOLUMEHISTOGRAMS FOR TARGET AND CRITICAL STRUCTURE PARTIAL TOLERANCE SPECIFICATIONS",,,,,
77305,"Radiation, Oncology",Radiation Therapy,"TELETHERAPY, ISODOSE PLAN (WHETHER HAND OR COMPUTER CALCULATED); SIMPLE (1 OR 2 PARALLEL OPPOSED UNMODIFIED PORTS DIRECTED TO A SINGLE AREA OF INTEREST)",,,,,
77306,"Radiation, Oncology",Radiation Therapy,"TELETHERAPY ISODOSE PLAN; SIMPLE (1 OR 2 UNMODIFIED PORTS DIRECTED TO A SINGLE AREA OF INTEREST), INCLUDES BASIC DOSIMETRY CALCULATION(S)",,,,,
77307,"Radiation, Oncology",Radiation Therapy,"TELETHERAPY ISODOSE PLAN; COMPLEX (MULTIPLE TREATMENT AREAS, TANGENTIAL PORTS, THE USE OF WEDGES, BLOCKING, ROTATIONAL BEAM, OR SPECIAL BEAM CONSIDERATIONS), INCLUDES BASIC DOSIMETRY CALCULATION(S)",,,,,
77310,"Radiation, Oncology",Radiation Therapy,"TELETHERAPY, ISODOSE PLAN (WHETHER HAND OR COMPUTER CALCULATED); INTERMEDIATE (THREE OR MORE TREATMENT PORTS DIRECTED TO A SINGLE AREA OF INTEREST)",,,,,
77315,"Radiation, Oncology",Radiation Therapy,"TELETHERAPY, ISODOSE PLAN (WHETHER HAND OR COMPUTER CALCULATED); COMPLEX (MANTLE OR INVERTED Y, TANGENTIAL PORTS, THE USE OF WEDGES, COMPENSATORS, COMPLEX BLOCKING, ROTATIONAL BEAM, OR SPECIAL BEAM CONSIDERATIONS)",,,,,
77316,"Radiation, Oncology",Radiation Therapy,"BRACHYTHERAPY ISODOSE PLAN; SIMPLE (CALCULATION[S] MADE FROM 1 TO 4 SOURCES, OR REMOTE AFTERLOADING BRACHYTHERAPY, 1 CHANNEL), INCLUDES BASIC DOSIMETRY CALCULATION(S)",,,,,
77317,"Radiation, Oncology",Radiation Therapy,"BRACHYTHERAPY ISODOSE PLAN; INTERMEDIATE (CALCULATION[S] MADE FROM 5 TO 10 SOURCES, OR REMOTE AFTERLOADING BRACHYTHERAPY, 2-12 CHANNELS), INCLUDES BASIC DOSIMETRY CALCULATION(S)",,,,,
77318,"Radiation, Oncology",Radiation Therapy,"BRACHYTHERAPY ISODOSE PLAN; COMPLEX (CALCULATION[S] MADE FROM OVER 10 SOURCES, OR REMOTE AFTERLOADING BRACHYTHERAPY, OVER 12 CHANNELS), INCLUDES BASIC DOSIMETRY CALCULATION(S)",,,,,
77321,"Radiation, Oncology",Radiation Therapy,"SPECIAL TELETHERAPY PORT PLAN, PARTICLES, HEMI-BODY, TOTAL BODY",,,,,
77326,"Radiation, Oncology",Radiation Therapy,"BRACHYTHERAPY ISODOSE CALCULATION; SIMPLE (CALCULATION MADE FROM SINGLE PLANE, ONE TO FOUR SOURCES/RIBBON APPLICATION, REMOTE AFTERLOADING BRACHYTHERAPY, 1 TO 8 SOURCES)",,,,,
77327,"Radiation, Oncology",Radiation Therapy,"BRACHYTHERAPY ISODOSE CALCULATION; INTERMEDIATE (MULTIPLANE DOSAGE CALCULATIONS, APPLICATION INVOLVING 5 TO 10 SOURCES/RIBBONS, REMOTE AFTERLOADING BRACHYTHERAPY, 9 TO 12 SOURCES)",,,,,
77328,"Radiation, Oncology",Radiation Therapy,"BRACHYTHERAPY ISODOSE CALCULATION; COMPLEX (MULTIPLANE ISODOSE PLAN, VOLUME IMPLANT CALCULATIONS, OVER 10 SOURCES/RIBBONS USED, SPECIAL SPATIAL RECONSTRUCTION, REMOTEAFTERLOADING BRACHYTHERAPY, OVER 12 SOURCES)",,,,,
77331,"Radiation, Oncology",Radiation Therapy,"SPECIAL DOSIMETRY (EG, TLD, MICRODOSIMETRY) (SPECIFY), ONLY WHEN PRESCRIBED BY THE TREATING PHYSICIAN",,,,,
77332,"Radiation, Oncology",Radiation Therapy,"TREATMENT DEVICES, DESIGN AND CONSTRUCTION; SIMPLE (SIMPLE BLOCK, SIMPLE BOLUS)",,,,,
77333,"Radiation, Oncology",Radiation Therapy,"TREATMENT DEVICES, DESIGN AND CONSTRUCTION; INTERMEDIATE (MULTIPLE BLOCKS, STENTS, BITE BLOCKS, SPECIAL BOLUS)",,,,,
77334,"Radiation, Oncology",Radiation Therapy,"TREATMENT DEVICES, DESIGN AND CONSTRUCTION; COMPLEX (IRREGULAR BLOCKS, SPECIAL SHIELDS, COMPENSATORS, WEDGES, MOLDS OR CASTS)",,,,,
77336,"Radiation, Oncology",Radiation Therapy,"CONTINUING MEDICAL PHYSICS CONSULTATION, INCLUDING ASSESSMENT OF TREATMENT PARAMETERS, QUALITY ASSURANCE OF DOSE DELIVERY, AND REVIEW OF PATIENT TREATMENT DOCUMENTATIONIN SUPPORT OF THE RADIATION ONCOLOGIST, REPORTED PER WEEK OFTHERAPY",,,,,
77338,"Radiation, Oncology",Radiation Therapy,NULL,,,,,
77370,"Radiation, Oncology",Radiation Therapy,SPECIAL MEDICAL RADIATION PHYSICS CONSULTATION,,,,,
77371,"Radiation, Oncology",Radiation Therapy,NULL,,,,,
77372,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, STEREOTACTIC RADIOSURGERY (SRS), COMPLETE COURSE OF TREATMENT OF CEREBRAL LESION(S) CONSISTING OF 1 SESSION; LINEAR ACCELERATOR BASED",,,,,
77373,"Radiation, Oncology",Radiation Therapy,NULL,,,,,
77380,"Radiation, Oncology",Radiation Therapy,"(CODE DELETED IN 2000. TO REPORT, USE 77520) PROTON BEAM DELIVERY TO A SINGLE TREATMENT AREA, SINGLE PORT, CUSTOM BLOCK, WITH OR WITHOUT COMPENSATION, WITH TREATMENT SET-UP AND VERIFICATION IMAGES",,,,,
77381,"Radiation, Oncology",Radiation Therapy,"(CODE DELETED IN 2000. TO REPORT, USE 77523) PROTON BEAM TREATMENT TO ONE OR TWO TREATMENT AREAS, TWO OR MORE PORTS, TWO OR MORE CUSTOM BLOCKS, AND TWO OR MORE COMPENSATORS, WITH TREATMENT SET-UP AND VERIFICATION IMAGES",,,,,
77385,"Radiation, Oncology",Radiation Therapy,"INTENSITY MODULATED RADIATION TREATMENT DELIVERY (IMRT), INCLUDES GUIDANCE AND TRACKING, WHEN PERFORMED; SIMPLE",,,,,
77386,"Radiation, Oncology",Radiation Therapy,"INTENSITY MODULATED RADIATION TREATMENT DELIVERY (IMRT), INCLUDES GUIDANCE AND TRACKING, WHEN PERFORMED; COMPLEX",,,,,
77387,Family Practice,Office Visit,"GUIDANCE FOR LOCALIZATION OF TARGET VOLUME FOR DELIVERY OF RADIATION TREATMENT DELIVERY, INCLUDES INTRAFRACTION TRACKING, WHEN PERFORMED",,,,,
77399,"Radiation, Oncology",Radiation Therapy,"UNLISTED PROCEDURE, MEDICAL RADIATION PHYSICS, DOSIMETRY ANDTREATMENT DEVICES, AND SPECIAL SERVICES",,,,,
77400,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 1991.) DAILY MEGAVOLTAGE TREATMENT MANAGEMENT; SIMPLE,,,,,
77401,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, SUPERFICIAL AND/OR ORTHO VOLTAGE",,,,,
77402,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA, SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS; UP TO 5 MEV",,,,,
77403,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA, SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS; 6-10 MEV",,,,,
77404,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA, SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS; 11-19 MEV",,,,,
77405,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 1991.) DAILY MEGAVOLTAGE TREATMENT MANAGEMENT; INTERMEDIATE,,,,,
77406,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA, SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS; 20 MEV OR GREATER",,,,,
77407,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, 2 SEPARATE TREATMENT AREAS, 3 OR MORE PORTS ON A SINGLE TREATMENT AREA, USE OF MULTIPLE BLOCKS; UP TO 5 MEV",,,,,
